file,original,transformed,n,n_observed,unique_original,unique_transformed,same_missingness,increasing_weak_order,decreasing_weak_order,median_scale,max_relative_scaling_error
GE_HH-Analysis_AllHHs.dta,nondurables_exp_pc,nondurables_exp_pc_PPP,8239,8226,7494,7494,True,True,False,0.021510002154070052,5.470468851430559e-08
GE_HH-Analysis_AllHHs.dta,nondurables_exp_pc_trim,nondurables_exp_pc_trim_PPP,8239,8144,7412,7412,True,True,False,0.02151000215498904,4.760101344501104e-08
GE_HH-Analysis_AllHHs.dta,nondurables_exp_pc_wins,nondurables_exp_pc_wins_PPP,8239,8226,7412,7412,True,True,False,0.021510002147677332,4.7261092075316725e-08
GE_HH-Analysis_AllHHs.dta,nondurables_exp_trim,nondurables_exp_trim_PPP,8239,8144,6935,6934,True,False,False,0.021510002152780133,4.193734803008569e-08
GE_HH-Analysis_AllHHs.dta,nondurables_exp_wins,nondurables_exp_wins_PPP,8239,8226,6935,6934,True,False,False,0.021510002149830103,4.183423381484756e-08
GE_HH-Analysis_AllHHs.dta,p11_6_nettransfers,p11_6_nettransfers_PPP,8239,8239,1340,1340,True,True,False,0.021510002136230468,3.669212741541829e-08
GE_HH-Analysis_AllHHs.dta,p11_6_nettransfers_trim,p11_6_nettransfers_trim_PPP,8239,8158,1279,1279,True,True,False,0.021510002136230468,3.7271420495134716e-08
GE_HH-Analysis_AllHHs.dta,p11_6_nettransfers_trim2,p11_6_nettransfers_trim2_PPP,8239,8076,1219,1219,True,True,False,0.021510002136230468,3.206242374353293e-08
GE_HH-Analysis_AllHHs.dta,p11_6_nettransfers_wins,p11_6_nettransfers_wins_PPP,8239,8239,1279,1279,True,True,False,0.021510002136230468,3.7271420495134716e-08
GE_HH-Analysis_AllHHs.dta,p11_6_nettransfers_wins2,p11_6_nettransfers_wins2_PPP,8239,8239,1219,1219,True,True,False,0.021510002136230468,3.206242374353293e-08
GE_HH-Analysis_AllHHs.dta,p1_assets,p1_assets_PPP,8239,8232,3607,3607,True,True,False,0.02151000215525639,3.4341427941656775e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_BL,p1_assets_PPP_BL,8239,8239,3579,3579,True,True,False,0.02151000229955084,2.246121604415665e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_home_BL,p1_assets_home_PPP_BL,8239,8239,4260,4260,True,True,False,0.021510002028598447,3.530726779640385e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_home_trim_BL,p1_assets_home_trim_PPP_BL,8239,8239,4193,4193,True,True,False,0.0215100022919324,3.822688836709786e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_home_wins_BL,p1_assets_home_wins_PPP_BL,8239,8239,4193,4193,True,True,False,0.021510002023321883,4.675728775562917e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_trim,p1_assets_trim_PPP,8239,8150,3526,3526,True,True,False,0.02151000215525639,3.809666522796021e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_trim2,p1_assets_trim2_PPP,8239,8068,3446,3446,True,True,False,0.021510002152780133,4.548484366402093e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_trim2_BL,p1_assets_trim2_PPP_BL,8239,8239,3441,3441,True,True,False,0.021510002020046794,3.9787448373103946e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_trim_BL,p1_assets_trim_PPP_BL,8239,8239,3511,3511,True,True,False,0.021510002309914632,4.422683551998559e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_wins,p1_assets_wins_PPP,8239,8232,3526,3526,True,True,False,0.0215100021621514,3.8340356173044515e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_wins2,p1_assets_wins2_PPP,8239,8232,3446,3446,True,True,False,0.021510002167887707,4.61238097369983e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_wins2_BL,p1_assets_wins2_PPP_BL,8239,8239,3442,3442,True,True,False,0.02151000229955084,4.3763126492238335e-08
GE_HH-Analysis_AllHHs.dta,p1_assets_wins_BL,p1_assets_wins_PPP_BL,8239,8239,3512,3512,True,True,False,0.021510002055921053,5.3150719146748674e-08
GE_HH-Analysis_AllHHs.dta,p2_consumption,p2_consumption_PPP,8239,8226,7121,7121,True,True,False,0.02151000215581454,3.818634888509958e-08
GE_HH-Analysis_AllHHs.dta,p2_consumption_pc,p2_consumption_pc_PPP,8239,8226,7573,7573,True,True,False,0.02151000215178759,5.48723210050775e-08
GE_HH-Analysis_AllHHs.dta,p2_consumption_pc_trim,p2_consumption_pc_trim_PPP,8239,8144,7492,7492,True,True,False,0.021510002152780133,4.734049587138426e-08
GE_HH-Analysis_AllHHs.dta,p2_consumption_pc_wins,p2_consumption_pc_wins_PPP,8239,8226,7492,7492,True,True,False,0.021510002159180946,4.706259646062201e-08
