"scenario","method","seed","n","clusters","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","cate_correlation","cate_rank_correlation","top_set_overlap","assignment_switching","pseudo_policy_value","pseudo_policy_value_se","pseudo_policy_value_difference","pseudo_policy_value_difference_se"
"routine_bundle","exact_deduplication",20260808,4765,653,32,28,NA,16,0.5,0.975366888558029,0.972244873059768,0.863849765258216,0.0730325288562434,30.6391574025268,13.6165303804917,-0.25726928246532,5.44029215718337
"routine_bundle","dimension_adjusted_mtry",20260808,4765,653,32,32,NA,32,0.5,0.9871706614017,0.985163688143869,0.887480190174326,0.059601259181532,28.4684324920878,13.918275627269,-2.42799419290434,4.18849230409061
"routine_bundle","class_sampled",20260808,4765,653,32,16,16,16,0.5,1,1,1,0,33.2219269601289,13.4296952162071,0,0
"canonical","ordinary",20260809,4765,653,16,16,NA,16,0.5,1,1,1,0,31.1530572423277,13.5183110117692,0,0
"canonical","exact_deduplication",20260809,4765,653,16,16,NA,16,0.5,1,1,1,0,31.1530572423277,13.5183110117692,0,0
"canonical","dimension_adjusted_mtry",20260809,4765,653,16,16,NA,16,0.5,1,1,1,0,31.1530572423277,13.5183110117692,0,0
"canonical","class_sampled",20260809,4765,653,16,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"administrative_aliases","ordinary",20260809,4765,653,20,20,NA,16,0.5,0.983188589522805,0.981270770824259,0.882259976293955,0.0625393494228751,27.2400724449437,13.8963887871608,-3.91298479738392,4.60575060664465
"administrative_aliases","exact_deduplication",20260809,4765,653,20,16,NA,16,0.5,1,1,1,0,31.1530572423277,13.5183110117692,0,0
"administrative_aliases","dimension_adjusted_mtry",20260809,4765,653,20,20,NA,20,0.5,0.986023198094715,0.984100794798579,0.897252090800478,0.0541448058761805,30.681554587671,13.6686317152318,-0.471502654656768,3.61780622489415
"administrative_aliases","class_sampled",20260809,4765,653,20,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"unit_recodings","ordinary",20260809,4765,653,19,19,NA,16,0.5,0.984314043247074,0.982415365694168,0.888977002379064,0.0587618048268625,32.7550713541979,13.8884720559254,1.60201411187012,3.93402515210235
"unit_recodings","exact_deduplication",20260809,4765,653,19,19,NA,16,0.5,0.984314043247074,0.982415365694168,0.888977002379064,0.0587618048268625,32.7550713541979,13.8884720559254,1.60201411187012,3.93402515210235
"unit_recodings","dimension_adjusted_mtry",20260809,4765,653,19,19,NA,19,0.5,0.985437207661158,0.983544546182406,0.88300395256917,0.0621196222455404,28.9609489069178,13.8946966387138,-2.19210833540994,4.3784522443434
"unit_recodings","class_sampled",20260809,4765,653,19,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"complements","ordinary",20260809,4765,653,19,19,NA,16,0.5,0.983725745611773,0.981250914828229,0.883748517200475,0.0616998950682057,32.9412511864762,13.6291540974315,1.78819394414852,4.44122419828381
"complements","exact_deduplication",20260809,4765,653,19,19,NA,16,0.5,0.983725745611773,0.981250914828229,0.883748517200475,0.0616998950682057,32.9412511864762,13.6291540974315,1.78819394414852,4.44122419828381
"complements","dimension_adjusted_mtry",20260809,4765,653,19,19,NA,19,0.5,0.985538955264047,0.98386953492912,0.892729439809297,0.0566631689401889,26.6294999614515,13.7873752245365,-4.52355728087622,4.18945428268105
"complements","class_sampled",20260809,4765,653,19,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"raw_log_rank","ordinary",20260809,4765,653,22,22,NA,16,0.5,0.980513686135368,0.978470969459642,0.877068557919622,0.0654774396642183,31.2681788678792,13.6357095219122,0.115121625551479,4.52055818026524
"raw_log_rank","exact_deduplication",20260809,4765,653,22,22,NA,16,0.5,0.980513686135368,0.978470969459642,0.877068557919622,0.0654774396642183,31.2681788678792,13.6357095219122,0.115121625551479,4.52055818026524
"raw_log_rank","dimension_adjusted_mtry",20260809,4765,653,22,22,NA,22,0.5,0.986663761250429,0.984594231811469,0.886732673267327,0.0600209863588667,29.6852757114355,13.5139627557211,-1.46778153089221,5.01923142447809
"raw_log_rank","class_sampled",20260809,4765,653,22,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"routine_bundle","ordinary",20260809,4765,653,32,32,NA,16,0.5,0.971204107035142,0.968250262347926,0.859484777517564,0.0755508919202518,31.855955255754,13.9265174004304,0.702898013426294,4.46872445829563
"routine_bundle","exact_deduplication",20260809,4765,653,32,28,NA,16,0.5,0.975300497900797,0.972081393922444,0.86312084473993,0.0734522560335782,29.3371279280568,13.6124365913075,-1.81592931427086,5.5047837306537
"routine_bundle","dimension_adjusted_mtry",20260809,4765,653,32,32,NA,32,0.5,0.987215569618882,0.98517940332859,0.886732673267327,0.0600209863588667,27.2279308843922,13.7863790255876,-3.92512635793551,4.16196249493427
"routine_bundle","class_sampled",20260809,4765,653,32,16,16,16,0.5,1,1,1,0,33.18049143282,13.4551098404007,0,0
"canonical","ordinary",20260810,4765,653,16,16,NA,16,0.5,1,1,1,0,31.2076260623322,13.5194045728428,0,0
"canonical","exact_deduplication",20260810,4765,653,16,16,NA,16,0.5,1,1,1,0,31.2076260623322,13.5194045728428,0,0
"canonical","dimension_adjusted_mtry",20260810,4765,653,16,16,NA,16,0.5,1,1,1,0,31.2076260623322,13.5194045728428,0,0
"canonical","class_sampled",20260810,4765,653,16,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
"administrative_aliases","ordinary",20260810,4765,653,20,20,NA,16,0.5,0.983206258566998,0.981317663934564,0.88300395256917,0.0621196222455404,28.3832214140186,13.7986622442851,-2.82440464831359,4.49899819547262
"administrative_aliases","exact_deduplication",20260810,4765,653,20,16,NA,16,0.5,1,1,1,0,31.2076260623322,13.5194045728428,0,0
"administrative_aliases","dimension_adjusted_mtry",20260810,4765,653,20,20,NA,20,0.5,0.986033272035327,0.9841288332587,0.896496815286624,0.0545645330535152,29.8884475687619,13.6852856550905,-1.31917849357029,3.66423700628958
"administrative_aliases","class_sampled",20260810,4765,653,20,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
"unit_recodings","ordinary",20260810,4765,653,19,19,NA,16,0.5,0.98428206279095,0.98239082894979,0.888977002379064,0.0587618048268625,32.9008034629455,13.8900700141422,1.6931774006133,3.9725013995905
"unit_recodings","exact_deduplication",20260810,4765,653,19,19,NA,16,0.5,0.98428206279095,0.98239082894979,0.888977002379064,0.0587618048268625,32.9008034629455,13.8900700141422,1.6931774006133,3.9725013995905
"unit_recodings","dimension_adjusted_mtry",20260810,4765,653,19,19,NA,19,0.5,0.985457057790072,0.98354459853456,0.886732673267327,0.0600209863588667,30.6581241612517,13.8001596639402,-0.549501901080491,4.2846866485556
"unit_recodings","class_sampled",20260810,4765,653,19,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
"complements","ordinary",20260810,4765,653,19,19,NA,16,0.5,0.983704498305305,0.981228684351485,0.879289940828402,0.0642182581322141,33.3877901523052,13.611207232408,2.18016408997306,4.4656111062384
"complements","exact_deduplication",20260810,4765,653,19,19,NA,16,0.5,0.983704498305305,0.981228684351485,0.879289940828402,0.0642182581322141,33.3877901523052,13.611207232408,2.18016408997306,4.4656111062384
"complements","dimension_adjusted_mtry",20260810,4765,653,19,19,NA,19,0.5,0.985503698636309,0.983841508336965,0.891226677252878,0.0575026232948583,27.6030246890377,13.8010600669283,-3.60460137329439,4.17534525600501
"complements","class_sampled",20260810,4765,653,19,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
"raw_log_rank","ordinary",20260810,4765,653,22,22,NA,16,0.5,0.980536026351765,0.978520783864465,0.876329263489563,0.065897166841553,30.3868312082894,13.613903135993,-0.820794854042799,4.46306253996218
"raw_log_rank","exact_deduplication",20260810,4765,653,22,22,NA,16,0.5,0.980536026351765,0.978520783864465,0.876329263489563,0.065897166841553,30.3868312082894,13.613903135993,-0.820794854042799,4.46306253996218
"raw_log_rank","dimension_adjusted_mtry",20260810,4765,653,22,22,NA,22,0.5,0.986629685221745,0.984561547874155,0.885239414325287,0.0608604407135362,30.0318957520209,13.5129341421583,-1.17573031031131,5.02553834639094
"raw_log_rank","class_sampled",20260810,4765,653,22,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
"routine_bundle","ordinary",20260810,4765,653,32,32,NA,16,0.5,0.971180501486334,0.96819101989706,0.858759266484588,0.0759706190975866,33.1559913620294,13.9193720519249,1.94836529969718,4.46601208839706
"routine_bundle","exact_deduplication",20260810,4765,653,32,28,NA,16,0.5,0.975323727912,0.972091415921412,0.864579256360078,0.0726128016789087,29.2800669211481,13.6161798474966,-1.92755914118408,5.51588991228673
"routine_bundle","dimension_adjusted_mtry",20260810,4765,653,32,32,NA,32,0.5,0.987223924812813,0.985200841202607,0.885239414325287,0.0608604407135362,26.3989649490545,13.7360332196855,-4.80866111327764,4.05141783280131
"routine_bundle","class_sampled",20260810,4765,653,32,16,16,16,0.5,1,1,1,0,30.1525060555302,13.75136358833,0,0
