"dimension","method","metric","replications","mean","mcse","ci95_low","ci95_high"
250,"ordinary_x2_minus_ordinary_x1","mse",100,0.00604684546139301,0.00291572367387496,0.000261417121548494,0.0118322738012375
500,"ordinary_x2_minus_ordinary_x1","mse",100,0.0383870150794068,0.00193187287555512,0.0345537601714203,0.0422202699873933
500,"class_x1_minus_ordinary_x1","oracle_gain",100,0,0,0,0
500,"class_x1_minus_ordinary_x2","oracle_gain",100,0,0,0,0
40,"ordinary_x2_minus_ordinary_x1","oracle_gain",100,0,0,0,0
100,"ordinary_x2_minus_ordinary_x1","oracle_gain",100,0,0,0,0
250,"ordinary_x2_minus_ordinary_x1","oracle_gain",100,0,0,0,0
500,"ordinary_x2_minus_ordinary_x1","oracle_gain",100,0,0,0,0
500,"class_x1_minus_ordinary_x1","regret",100,-0.021523478983909,0.000377112841166393,-0.0222717526760122,-0.0207752052918057
500,"class_x1_minus_ordinary_x2","regret",100,-0.0600240705097359,0.00173252678361313,-0.0634617795228586,-0.0565863614966132
40,"ordinary_x2_minus_ordinary_x1","regret",100,-0.00686867434749399,0.000849819179951125,-0.00855489997013628,-0.0051824487248517
100,"ordinary_x2_minus_ordinary_x1","regret",100,-0.0128546203361562,0.00173285169185381,-0.0162929740377177,-0.00941626663459464
250,"ordinary_x2_minus_ordinary_x1","regret",100,0.0180703631555142,0.0025760285035223,0.0129589637310555,0.023181762579973
500,"ordinary_x2_minus_ordinary_x1","regret",100,0.0385005915258269,0.00165708643776968,0.0352125725257604,0.0417886105258935
500,"class_x1_minus_ordinary_x1","treatment_share",100,0.245347333333333,0.000685879739338475,0.243986399127788,0.246708267538878
500,"class_x1_minus_ordinary_x2","treatment_share",100,0.213163,0.0054408600836684,0.202367153190775,0.223958846809225
40,"ordinary_x2_minus_ordinary_x1","treatment_share",100,0.0780626666666666,0.00687758093222005,0.0644160539950481,0.0917092793382852
100,"ordinary_x2_minus_ordinary_x1","treatment_share",100,0.179002666666667,0.00852198900922787,0.162093191613324,0.19591214172001
250,"ordinary_x2_minus_ordinary_x1","treatment_share",100,0.0985803333333334,0.008739118217916,0.0812400268234267,0.11592063984324
500,"ordinary_x2_minus_ordinary_x1","treatment_share",100,0.0321843333333333,0.00567716463618921,0.0209196070252598,0.0434490596414069
500,"class_x1_minus_ordinary_x1","value_gain",100,0.0215234789839089,0.000377112841166382,0.0207752052918056,0.0222717526760121
500,"class_x1_minus_ordinary_x2","value_gain",100,0.060024070509736,0.00173252678361313,0.0565863614966133,0.0634617795228587
40,"ordinary_x2_minus_ordinary_x1","value_gain",100,0.00686867434749396,0.000849819179951123,0.00518244872485167,0.00855489997013625
100,"ordinary_x2_minus_ordinary_x1","value_gain",100,0.0128546203361562,0.00173285169185381,0.00941626663459468,0.0162929740377177
250,"ordinary_x2_minus_ordinary_x1","value_gain",100,-0.0180703631555143,0.0025760285035223,-0.023181762579973,-0.0129589637310555
500,"ordinary_x2_minus_ordinary_x1","value_gain",100,-0.0385005915258272,0.00165708643776969,-0.0417886105258937,-0.0352125725257606
500,"class_x1_minus_ordinary_x1","wrong_sign",100,-0.239846666666667,0.00072990059744796,-0.241294947805096,-0.238398385528237
500,"class_x1_minus_ordinary_x2","wrong_sign",100,-0.206781,0.00551292726785018,-0.217719843737731,-0.195842156262269
40,"ordinary_x2_minus_ordinary_x1","wrong_sign",100,-0.078188,0.00688255631912815,-0.0918444849186622,-0.0645315150813377
100,"ordinary_x2_minus_ordinary_x1","wrong_sign",100,-0.179669333333333,0.00852027430466365,-0.196575406040813,-0.162763260625854
250,"ordinary_x2_minus_ordinary_x1","wrong_sign",100,-0.0996663333333334,0.00870941250052936,-0.116947697255242,-0.0823849694114244
500,"ordinary_x2_minus_ordinary_x1","wrong_sign",100,-0.0330656666666667,0.00560353276524537,-0.0441842913682365,-0.0219470419650969
