"replication","dimension","method","metric","value"
37,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.000408905916134017
37,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",3.33333333333019e-05
38,40,"ordinary_x2_minus_ordinary_x1","mae",-0.051339202713303
38,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.00153349741261985
38,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0146333002229846
38,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
38,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0060414883780316
38,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.069866666666667
38,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00604148837803203
38,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0694
39,40,"ordinary_x2_minus_ordinary_x1","mae",-0.027311631681834
39,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0023001473772074
39,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0090719060707104
39,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
39,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00244949830524079
39,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.030333333333334
39,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00244949830524099
39,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0303333333333333
4,40,"ordinary_x2_minus_ordinary_x1","mae",0.008919856530074
4,40,"ordinary_x2_minus_ordinary_x1","mean_error",-5.62513678452024e-05
4,40,"ordinary_x2_minus_ordinary_x1","mse",0.0014568564519976
4,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
4,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00046913433797345
4,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.0071
4,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.000469134337973964
4,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0071
40,40,"ordinary_x2_minus_ordinary_x1","mae",-0.035880878296721
