"dimension","method","metric","replications","mean","mcse","ci95_low","ci95_high"
100,"ordinary_x1","mse",100,0.0746725037674742,0.00180323529405028,0.0710944937293208,0.0782505138056277
250,"ordinary_x1","mse",100,0.145024479172957,0.00185956501224403,0.141334698753085,0.148714259592828
500,"ordinary_x1","mse",100,0.196247403732685,0.00151902021396825,0.193233338074327,0.199261469391043
40,"ordinary_x2","mse",100,0.0295929283106413,0.000987620141446041,0.0276332756842559,0.0315525809370267
100,"ordinary_x2","mse",100,0.0614861939626257,0.00183222801106152,0.057850656083906,0.0651217318413454
250,"ordinary_x2","mse",100,0.15107132463435,0.00226594121724755,0.146575205659789,0.155567443608911
500,"ordinary_x2","mse",100,0.234634418812092,0.0019511729754367,0.230762868318753,0.23850596930543
500,"class_x1","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
500,"class_x2","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
40,"ordinary_x1","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
100,"ordinary_x1","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
250,"ordinary_x1","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
500,"ordinary_x1","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
40,"ordinary_x2","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
100,"ordinary_x2","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
250,"ordinary_x2","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
500,"ordinary_x2","oracle_gain",100,0.450027949692166,0.000345113126747535,0.449343170375858,0.450712729008473
500,"class_x1","regret",100,0.00467079590719801,0.000428146225504123,0.00382126090879499,0.00552033090560103
500,"class_x2","regret",100,0.00467079590719801,0.000428146225504123,0.00382126090879499,0.00552033090560103
40,"ordinary_x1","regret",100,0.0127178543744815,0.000865421716673873,0.0110006699339862,0.0144350388149768
100,"ordinary_x1","regret",100,0.022159936065312,0.000577843547506148,0.0210133691029854,0.0233065030276385
250,"ordinary_x1","regret",100,0.0256882283862234,0.000119205746147128,0.0254516983239917,0.025924758448455
500,"ordinary_x1","regret",100,0.026194274891107,0.000147585670486197,0.025901432901917,0.0264871168802969
40,"ordinary_x2","regret",100,0.00584918002698748,0.000660243202723018,0.00453911427197477,0.0071592457820002
100,"ordinary_x2","regret",100,0.00930531572915579,0.00148864440580853,0.00635152226426622,0.0122591091940454
250,"ordinary_x2","regret",100,0.0437585915417376,0.0025607444117127,0.0386775190713371,0.0488396640121381
500,"ordinary_x2","regret",100,0.0646948664169339,0.00164533445046684,0.0614301659092885,0.0679595669245793
500,"class_x1","treatment_share",100,0.752140333333333,0.000714532064156027,0.750722546699183,0.753558119967484
500,"class_x2","treatment_share",100,0.752140333333333,0.000714532064156027,0.750722546699183,0.753558119967484
40,"ordinary_x1","treatment_share",100,0.630218,0.00872903800377685,0.612897694821864,0.647538305178136
100,"ordinary_x1","treatment_share",100,0.537095666666667,0.00587971377207483,0.52542903892964,0.548762294403694
250,"ordinary_x1","treatment_share",100,0.506838666666667,0.000747834092165609,0.505354801584017,0.508322531749316
500,"ordinary_x1","treatment_share",100,0.506793,0.000727110619489348,0.505350254783131,0.508235745216869
40,"ordinary_x2","treatment_share",100,0.708280666666667,0.00458062638593699,0.699191710142806,0.717369623190527
100,"ordinary_x2","treatment_share",100,0.716098333333333,0.00488869254369268,0.706398106717044,0.725798559949623
250,"ordinary_x2","treatment_share",100,0.605419,0.00853075471686308,0.588492131880974,0.622345868119026
500,"ordinary_x2","treatment_share",100,0.538977333333333,0.00556314081931539,0.527938855015585,0.550015811651081
500,"class_x1","value_gain",100,0.445357153784968,0.000572033007408466,0.444222116194801,0.446492191375135
500,"class_x2","value_gain",100,0.445357153784968,0.000572033007408466,0.444222116194801,0.446492191375135
