replication,dimension,subgroup,true_mean,x1_mean,x2_mean,sign_reversal,strong_sign_reversal
12,40,x1_low__x2_low,0.100259525586405,-0.00522683934083272,0.108138731059189,1,0
12,100,x1_high__x2_high,0.299367354849917,0.539985484931378,0.198541681185399,0,0
12,100,x1_high__x2_low,1.40094006699193,1.11942052401258,1.15194373763543,0,0
12,100,x1_low__x2_high,-0.999830352941742,-0.613191469247436,-0.665709752392017,0,0
12,100,x1_low__x2_low,0.100259525586405,-0.115632420575689,0.233345206859746,1,1
12,250,x1_high__x2_high,0.299367354849917,0.650338421680092,0.0643424269838132,0,0
12,250,x1_high__x2_low,1.40094006699193,0.987361480952039,0.963122987606966,0,0
12,250,x1_low__x2_high,-0.999830352941742,-0.500306932313445,-0.493608858319252,0,0
12,250,x1_low__x2_low,0.100259525586405,-0.189518111297868,0.383202419609154,1,1
12,500,x1_high__x2_high,0.299367354849917,0.676819809482993,0.0126192111694639,0,0
12,500,x1_high__x2_low,1.40094006699193,0.892761229268376,0.81807225494492,0,0
12,500,x1_low__x2_high,-0.999830352941742,-0.408922256646123,-0.355956245889016,0,0
12,500,x1_low__x2_low,0.100259525586405,-0.209902085854042,0.448638037642978,1,1
13,40,x1_high__x2_high,0.300383578040009,0.267004884146623,0.155416934580347,0,0
13,40,x1_high__x2_low,1.39945739463586,1.32607791000755,1.32582428087983,0,0
13,40,x1_low__x2_high,-0.999741266190869,-0.885269927831988,-0.896389316302803,0,0
13,40,x1_low__x2_low,0.100236120931443,0.185824083046196,0.312169241304368,0,0
13,100,x1_high__x2_high,0.300383578040009,0.390632216074919,0.0258909537479235,0,0
13,100,x1_high__x2_low,1.39945739463586,1.20177404990376,1.19458912296635,0,0
13,100,x1_low__x2_high,-0.999741266190869,-0.771514110264635,-0.7759057862993,0,0
13,100,x1_low__x2_low,0.100236120931443,0.0581917894252529,0.438815493848589,0,0
13,250,x1_high__x2_high,0.300383578040009,0.53217845914499,-0.117070614873,1,1
13,250,x1_high__x2_low,1.39945739463586,1.03533193035366,1.03896091142142,0,0
13,250,x1_low__x2_high,-0.999741266190869,-0.613844895960721,-0.623579988362436,0,0
13,250,x1_low__x2_low,0.100236120931443,-0.0843048200800671,0.554913541965562,1,0
13,500,x1_high__x2_high,0.300383578040009,0.580502663734628,-0.178703208818266,1,1
13,500,x1_high__x2_low,1.39945739463586,0.918408764133004,0.926604065214126,0,0
13,500,x1_low__x2_high,-0.999741266190869,-0.490340031449228,-0.503917500471712,0,0
13,500,x1_low__x2_low,0.100236120931443,-0.144013304392077,0.614395548804713,1,1
14,40,x1_high__x2_high,0.300578862052165,0.439460163083138,0.327831907808391,0,0
14,40,x1_high__x2_low,1.40019255129186,1.19227797040591,1.22034282263902,0,0
14,40,x1_low__x2_high,-1.00059571868076,-0.833155630600399,-0.870790615712688,0,0
14,40,x1_low__x2_low,0.100161544543398,0.0726184513661358,0.193730233314214,0,0
14,100,x1_high__x2_high,0.300578862052165,0.546524826327851,0.187225533240984,0,0
14,100,x1_high__x2_low,1.40019255129186,1.07900621444055,1.11695220114161,0,0
14,100,x1_low__x2_high,-1.00059571868076,-0.705288085489867,-0.741039599531304,0,0
14,100,x1_low__x2_low,0.100161544543398,-0.0549351292051995,0.309191937528236,1,0
14,250,x1_high__x2_high,0.300578862052165,0.629370853062041,0.0349460545344153,0,0
14,250,x1_high__x2_low,1.40019255129186,0.958539955390386,0.947851519067898,0,0
14,250,x1_low__x2_high,-1.00059571868076,-0.562068246192689,-0.554714637280236,0,0
14,250,x1_low__x2_low,0.100161544543398,-0.169799527879341,0.437385503803406,1,1
14,500,x1_high__x2_high,0.300578862052165,0.648506202410749,-0.0418513566453439,1,0
14,500,x1_high__x2_low,1.40019255129186,0.873866971054155,0.827394650606135,0,0
14,500,x1_low__x2_high,-1.00059571868076,-0.472265600140464,-0.428241299227426,0,0
14,500,x1_low__x2_low,0.100161544543398,-0.20040308957232,0.496178374943025,1,1
15,40,x1_high__x2_high,0.299775002538456,0.544311446078674,0.432157137099761,0,0
