"replication","data_seed","forest_seed","cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","value"
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",0.783325226436139
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",0.488766666666667
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",0.246533333333333
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",0.242233333333333
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",0.4577
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",0.0466666666666667
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",0.474169486843014
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",0.0853762653982193
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",0.42059170696417
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",0.328360859527615
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",0.140083006511061
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",0.282412519514145
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",0.000488367963061623
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",0.328494050790268
1,20270811,20290811,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",0.382706031222193
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","cate_correlation",0.749445766772913
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",0.790775709864862
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","sign_reversal",0.4867
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","positive_to_negative",0.2461
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","negative_to_positive",0.2406
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",0.3988
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",0.0175666666666667
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",0.439078097475044
