"replication","cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","subgroup","true_mean","x1_mean","x2_mean","sign_reversal","strong_sign_reversal"
2,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.172108105154834,0.329732081358412,1,1
2,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_high",0.299999268493499,0.592097654341352,-0.0019757650393451,1,0
2,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_low",1.39963537702099,1.12347048289472,1.10532683952009,0,0
2,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_high",-0.999923893636031,-0.753866038786,-0.743185648681506,0,0
2,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_low",0.0999749276437528,-0.19657674366708,0.377303195659607,1,1
2,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_high",0.299999268493499,0.65683726515007,-0.137687317228031,1,1
2,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_low",1.39963537702099,0.974843847714216,0.939070453813574,0,0
2,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_high",-0.999923893636031,-0.679751106584828,-0.677631294160327,0,0
2,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_low",0.0999749276437528,-0.312398038768716,0.46824971461527,1,1
2,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_high",0.299999268493499,0.266989081548152,0.266989081548152,0,0
2,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_low",1.39963537702099,0.853166246066899,0.853166246066899,0,0
2,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_high",-0.999923893636031,-0.518366832131507,-0.518366832131507,0,0
2,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_low",0.0999749276437528,0.0926156685129763,0.0926156685129763,0,0
3,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.498976180968325,0.215800199555037,0,0
3,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.00365068717178,0.99743950063719,0,0
3,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.502755477744243,-0.494303853818121,0,0
3,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,0.0200046748543668,0.305411623418049,0,0
3,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.566639211808963,0.158386444582214,0,0
3,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.0446954344134,1.03423376117781,0,0
3,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.555553954657742,-0.543724045596483,0,0
3,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.0422836464322916,0.377391881807642,1,0
3,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.635174410722522,0.0896201480317981,0,0
3,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.08221152527201,1.07310268425616,0,0
3,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.584190874358137,-0.567738509921094,0,0
3,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.115295570403116,0.433753797861319,1,1
3,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.679824080195173,0.037506179238881,0,0
3,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.09706795593515,1.068962909082,0,0
3,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.603781389632228,-0.577096388209624,0,0
3,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.149541361963939,0.488778431179288,1,1
3,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.705493251806297,-0.00661523861120141,1,0
3,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.08543721946773,1.05788185953869,0,0
3,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.595775314403549,-0.55460802546998,0,0
3,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.183651815200718,0.528738553231563,1,1
3,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.681367447308002,0.031653414093909,0,0
3,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.09606264918456,1.0658403329599,0,0
3,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.602816393060405,-0.577495443225813,0,0
3,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.148821276196131,0.495107045829849,1,1
3,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.680669738848046,0.0373804685615048,0,0
3,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.09391530315957,1.06953232787136,0,0
3,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.603384619566923,-0.580048171682804,0,0
3,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.151799067808047,0.490152610284356,1,1
3,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.456275117176473,0.337338247324497,0,0
3,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.32807126175385,1.35303182301155,0,0
3,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.848131092420851,-0.865065588082529,0,0
3,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_low__x2_low",0.0998889462484727,0.0941040878454565,0.207763491578626,0,0
3,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_high__x2_high",0.299554923186119,0.57768688263281,0.0987733219086172,0,0
3,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_high__x2_low",1.39978757877834,1.15449024619784,1.13458251618708,0,0
3,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_high",-1.00000496650067,-0.682889670886135,-0.685872711255795,0,0
3,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_low",0.0998889462484727,-0.101937388573978,0.388257263276705,1,1
3,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_high",0.299554923186119,0.622462796163327,0.0498486823392969,0,0
3,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_low",1.39978757877834,1.13350510922656,1.12606464479331,0,0
3,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_high",-1.00000496650067,-0.690437187837076,-0.682190383452625,0,0
3,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_low",0.0998889462484727,-0.160755898116824,0.416228193171806,1,1
3,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_high",0.299554923186119,0.743115617907088,0.0419196898044085,0,0
3,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_low",1.39978757877834,1.01282102244442,0.980961547349329,0,0
3,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_high",-1.00000496650067,-0.396475713183882,-0.344935665143045,0,0
3,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_low",0.0998889462484727,-0.120770151870287,0.574638203309424,1,1
3,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_high",0.299554923186119,0.346161471733003,0.346161471733003,0,0
3,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_low",1.39978757877834,0.873094020077962,0.873094020077962,0,0
3,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_high",-1.00000496650067,-0.377545165002997,-0.377545165002997,0,0
3,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_low",0.0998889462484727,0.174435183424107,0.174435183424107,0,0
4,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.291853695117951,0.0345498761266424,0,0
4,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,0.974505277946203,0.985049547875021,0,0
4,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.481011948401688,-0.493133501353719,0,0
4,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,0.0542837278883262,0.32858556691379,0,0
4,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.364843133611228,-0.0298234532368898,1,0
4,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.02331136726445,1.02853901355573,0,0
4,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.532096179075803,-0.541791724723585,0,0
4,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.0191461605816508,0.397366132445349,1,0
4,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.412083894465635,-0.0952610783837157,1,0
4,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.07565132087098,1.06622506264557,0,0
4,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.572079453745712,-0.57968577643574,0,0
4,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.0784321877303063,0.455371941136209,1,0
4,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.475680073808347,-0.140116632509124,1,1
4,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.06945516877084,1.07689581470636,0,0
4,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.579056154481714,-0.583343201343812,0,0
4,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.126294519957475,0.502055948269737,1,1
4,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.508415967201366,-0.177484078085727,1,1
4,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.05297037323413,1.05780236795647,0,0
4,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.566281762003102,-0.565100125435964,0,0
4,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.166306866793423,0.546361020840073,1,1
4,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.470550453174364,-0.14079331675769,1,1
4,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.07090728565533,1.06777447961483,0,0
4,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.583709963006183,-0.57073322102832,0,0
4,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.12071100695175,0.499827598808354,1,1
4,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.473935228866684,-0.141970583683954,1,1
4,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.06580064739436,1.0715653849075,0,0
4,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.579481799063027,-0.584139986162275,0,0
4,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.100436738416465,-0.127579025400807,0.506887248966325,1,1
4,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_high",0.300418228065005,0.183353444277618,0.0773682197138838,0,0
4,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_low",1.40006883511127,1.38088029734275,1.37126876774774,0,0
4,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_low__x2_high",-0.999505847093014,-0.836126701361403,-0.828794956517337,0,0
