"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.0855975582440795,0.096941021158522,0.0216766713118701,0.0402277637688329,0.130967352719326
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.138597691660541,0.00497628238393793,0.00111273056857199,0.136268719814445,0.140926663506638
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.0748389083484983,0.0832426064493805,0.0186136126645077,0.0358801693022445,0.113797647394752
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00155337834852891,0.00116056380730865,0.00025950995653681,0.00101021776713892,0.00209653892991891
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.0854261447428145,0.0975060998791381,0.0218030267550637,0.0397918852855583,0.131060404200071
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.280089428396195,0.011599620870852,0.00259375407804504,0.274660638719627,0.285518218072763
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.766560105335871,0.0147761278641048,0.00330404263483672,0.759644664624368,0.773475546047375
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.799130391792234,0.0125544939869281,0.00280727019778836,0.793254707741039,0.805006075843428
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.355448333333333,0.0801171054261906,0.017914729389348,0.317952373793213,0.392944292873454
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.114443333333333,0.0809022499488341,0.0180902930418272,0.0765799148454938,0.152306751821173
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.241005,0.00628028824719345,0.00140431514390176,0.238065734623844,0.243944265376156
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.255431666666667,0.0559713381904561,0.012515571698549,0.229236274046932,0.281627059286402
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0.0684783333333333,0.0546216302237868,0.0122137678222244,0.0429146234864594,0.0940420431802072
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.320103285601565,0.0540489910048282,0.0120857218002071,0.294807579158844,0.345398992044285
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0.112322329558557,0.0814385143095758,0.0182102053982801,0.0742079316242407,0.150436727492873
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.269084531571423,0.091721658819152,0.0205095864128667,0.226157473863328,0.312011589279519
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.152751764721505,0.107689550962864,0.0240801156419392,0.102351503449992,0.203152025993017
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.140766815654646,0.00340172425142454,0.000760648666689485,0.139174759698312,0.142358871610981
