"replication","data_seed","forest_seed","scenario","method","n_train","n_test","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","maximum_absolute_prediction_difference","cate_rmse","cate_correlation","cate_rank_correlation","representation_cate_correlation","representation_rank_correlation","assignment_switching","top_set_overlap","policy_value","policy_regret","policy_value_difference","regret_difference","share_group_a_treated","share_group_b_treated"
15,20270823,20280823,"routine_bundle","exact_deduplication",3000,30000,35,32,20,6,0.2,0.300579289182838,0.33160435768578,0.892036734227181,0.70742402738336,0.981702312066964,0.951127423314586,0.0116666666666667,0.94331983805668,0.283136433023963,0.00552304390510289,0.00551294826516313,-0.00551294826516313,0.962166666666667,0.0195
15,20270823,20280823,"routine_bundle","dimension_adjusted_mtry",3000,30000,35,35,20,11,0.2,0.449841128129692,0.308372095094971,0.889697692739986,0.733900769180334,0.970392951955526,0.946826238659585,0.0144,0.93050193050193,0.283482043637556,0.00517743329150916,0.00585855887875686,-0.00585855887875686,0.968166666666667,0.0131666666666667
15,20270823,20280823,"routine_bundle","class_sampled",3000,30000,35,20,20,6,0.2,0,0.399315973823777,0.844068054694356,0.715279052902755,1,1,0,1,0.276164159736017,0.0124953171930485,0,0,0.925166666666667,0.0343333333333333
16,20270824,20280824,"canonical","ordinary",3000,30000,20,20,20,6,0.2,0,0.403096498649951,0.818829001833537,0.657750768579279,1,1,0,1,0.278728714647734,0.0107840447564303,0,0,0.917666666666667,0.0558333333333333
16,20270824,20280824,"canonical","exact_deduplication",3000,30000,20,20,20,6,0.2,0,0.403096498649951,0.818829001833537,0.657750768579279,1,1,0,1,0.278728714647734,0.0107840447564303,0,0,0.917666666666667,0.0558333333333333
16,20270824,20280824,"canonical","dimension_adjusted_mtry",3000,30000,20,20,20,6,0.2,0,0.403096498649951,0.818829001833537,0.657750768579279,1,1,0,1,0.278728714647734,0.0107840447564303,0,0,0.917666666666667,0.0558333333333333
16,20270824,20280824,"canonical","class_sampled",3000,30000,20,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
16,20270824,20280824,"administrative_aliases","ordinary",3000,30000,23,23,20,6,0.2,0.178426295321967,0.390530430707985,0.804215411257957,0.647022748642914,0.994342600435587,0.963462214183402,0.014,0.932367149758454,0.278528763073488,0.0109839963306762,-0.000199951574245905,0.000199951574245905,0.925333333333333,0.0451666666666667
16,20270824,20280824,"administrative_aliases","exact_deduplication",3000,30000,23,20,20,6,0.2,0,0.403096498649951,0.818829001833537,0.657750768579279,1,1,0,1,0.278728714647734,0.0107840447564303,0,0,0.917666666666667,0.0558333333333333
16,20270824,20280824,"administrative_aliases","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.208733162680277,0.379155177319513,0.814055762041369,0.647206805236896,0.994304669219336,0.96332042138769,0.0154,0.925854597977853,0.280935689641654,0.00857706976251049,0.00220697499391981,-0.00220697499391981,0.940833333333333,0.0351666666666667
16,20270824,20280824,"administrative_aliases","class_sampled",3000,30000,23,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
16,20270824,20280824,"unit_recodings","ordinary",3000,30000,23,23,20,6,0.2,0.162848323840991,0.408318642250042,0.82241657110414,0.641803047681115,0.991706308812749,0.96360841113512,0.0178,0.914791766395404,0.28028236798106,0.00923039142310395,0.00155365333332635,-0.00155365333332635,0.903666666666667,0.0823333333333333
