"scenario","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high","q025","median","q975"
"canonical","exact_deduplication","policy_regret",20,0.00939517230916164,0.00434580673913884,0.000971751928579114,0.00736127214772789,0.0114290724705954,0.00266502924220156,0.0101931727664679,0.0165804122959003
"canonical","exact_deduplication","policy_value_difference",20,0,0,0,0,0,0,0,0
"canonical","exact_deduplication","regret_difference",20,0,0,0,0,0,0,0,0
"canonical","dimension_adjusted_mtry","cate_rmse",20,0.389466595217234,0.0213815493321833,0.0047810597771027,0.379459722098194,0.399473468336274,0.361323417735472,0.386159247445176,0.432890769273025
"canonical","dimension_adjusted_mtry","cate_correlation",20,0.837966330372192,0.0264302745845544,0.00590998906350486,0.825596581100986,0.850336079643397,0.79662655362227,0.845063399857405,0.872204470383803
"canonical","dimension_adjusted_mtry","cate_rank_correlation",20,0.665384959037331,0.0381217492228226,0.00852428226834312,0.647543431203123,0.68322648687154,0.595051137653701,0.672219999915578,0.732420942749079
"canonical","dimension_adjusted_mtry","representation_cate_correlation",20,1,0,0,1,1,1,1,1
"canonical","dimension_adjusted_mtry","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"canonical","dimension_adjusted_mtry","assignment_switching",20,0,0,0,0,0,0,0,0
"canonical","dimension_adjusted_mtry","top_set_overlap",20,1,0,0,1,1,1,1,1
"canonical","dimension_adjusted_mtry","policy_value",20,0.279703925202586,0.00427667199013538,0.000956292928741203,0.27770238109967,0.281705469305502,0.272943739063715,0.279250527391599,0.286635871584955
"canonical","dimension_adjusted_mtry","policy_regret",20,0.00939517230916164,0.00434580673913884,0.000971751928579114,0.00736127214772789,0.0114290724705954,0.00266502924220156,0.0101931727664679,0.0165804122959003
"canonical","dimension_adjusted_mtry","policy_value_difference",20,0,0,0,0,0,0,0,0
"canonical","dimension_adjusted_mtry","regret_difference",20,0,0,0,0,0,0,0,0
"canonical","class_sampled","cate_rmse",20,0.389606749322032,0.0218511721515237,0.00488607063188573,0.379380085957957,0.399833412686107,0.36152716581258,0.38592436618117,0.433810710631213
"canonical","class_sampled","cate_correlation",20,0.83776637610108,0.0256783193515458,0.00574184676180048,0.825748552711905,0.849784199490255,0.804143201169188,0.843039223588761,0.869143255375077
"canonical","class_sampled","cate_rank_correlation",20,0.665979296011425,0.0363819331367402,0.00813524756466032,0.648952027170024,0.683006564852826,0.606287588702864,0.663035842807151,0.729439674328155
"canonical","class_sampled","representation_cate_correlation",20,1,0,0,1,1,1,1,1
"canonical","class_sampled","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"canonical","class_sampled","assignment_switching",20,0,0,0,0,0,0,0,0
"canonical","class_sampled","top_set_overlap",20,1,0,0,1,1,1,1,1
"canonical","class_sampled","policy_value",20,0.279562492573061,0.00433267717670501,0.000968816069167428,0.277534737235996,0.281590247910126,0.272653748765621,0.279262810925247,0.285956295467184
"canonical","class_sampled","policy_regret",20,0.00953660493868661,0.00438005515270223,0.000979410106664041,0.00748667602630817,0.0115865338510651,0.00328149103318214,0.0101706951403943,0.0165490189468038
"canonical","class_sampled","policy_value_difference",20,0,0,0,0,0,0,0,0
"canonical","class_sampled","regret_difference",20,0,0,0,0,0,0,0,0
"administrative_aliases","ordinary","cate_rmse",20,0.373053375785609,0.0201033994034837,0.00449525676450183,0.363644695246765,0.382462056324453,0.34651550403531,0.36690491747865,0.411261090191379
"administrative_aliases","ordinary","cate_correlation",20,0.82823059942363,0.0244427444660862,0.00546556381828256,0.816791042881061,0.839670155966199,0.796290203279419,0.833430038051732,0.860364495074362
"administrative_aliases","ordinary","cate_rank_correlation",20,0.65691074197296,0.0357224605212008,0.00798778500489576,0.640192115816271,0.673629368129649,0.5990605000319,0.654058402097176,0.717809166128388
"administrative_aliases","ordinary","representation_cate_correlation",20,0.993698763188192,0.00173263690376938,0.000387429389715309,0.992887864156134,0.994509662220251,0.989792183144912,0.994086317254813,0.996036402183149
"administrative_aliases","ordinary","representation_rank_correlation",20,0.968722456378447,0.0103775201099395,0.00232048404036958,0.963865627464083,0.973579285292811,0.948699166497932,0.970905474505673,0.981112889711259
"administrative_aliases","ordinary","assignment_switching",20,0.01044,0.00402787945021907,0.000900661225586432,0.00855489438997473,0.0123251056100253,0.00465333333333333,0.00933333333333333,0.0184116666666667
"administrative_aliases","ordinary","top_set_overlap",20,0.94930496796148,0.019008725103408,0.00425048014968271,0.940408610765409,0.958201325157551,0.912046943032336,0.954397860708887,0.977001746022596
"administrative_aliases","ordinary","policy_value",20,0.279610031305388,0.00476466774346825,0.00106541209645955,0.277380098159641,0.281839964451136,0.271480135209119,0.279208334783727,0.286086036010501
"administrative_aliases","ordinary","policy_regret",20,0.00948906620635972,0.00479656331525808,0.00107254416312988,0.00724420547351365,0.0117339269392058,0.00298842353120784,0.00994694059710288,0.017722632503306
"administrative_aliases","ordinary","policy_value_difference",20,-9.38938971980745e-05,0.00171691382679325,0.000383913602821902,-0.000897434302718873,0.000709646508322724,-0.00263890165966332,-0.00012117165855563,0.00295700524035746
"administrative_aliases","ordinary","regret_difference",20,9.38938971980745e-05,0.00171691382679325,0.000383913602821902,-0.000709646508322724,0.000897434302718873,-0.00295700524035747,0.00012117165855563,0.00263890165966332
"administrative_aliases","exact_deduplication","cate_rmse",20,0.389466595217234,0.0213815493321833,0.0047810597771027,0.379459722098194,0.399473468336274,0.361323417735472,0.386159247445176,0.432890769273025
"administrative_aliases","exact_deduplication","cate_correlation",20,0.837966330372192,0.0264302745845544,0.00590998906350486,0.825596581100986,0.850336079643397,0.79662655362227,0.845063399857405,0.872204470383803
"administrative_aliases","exact_deduplication","cate_rank_correlation",20,0.665384959037331,0.0381217492228226,0.00852428226834312,0.647543431203123,0.68322648687154,0.595051137653701,0.672219999915578,0.732420942749079
"administrative_aliases","exact_deduplication","representation_cate_correlation",20,1,9.53009976799537e-17,2.13099509135926e-17,1,1,1,1,1
"administrative_aliases","exact_deduplication","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"administrative_aliases","exact_deduplication","assignment_switching",20,0,0,0,0,0,0,0,0
"administrative_aliases","exact_deduplication","top_set_overlap",20,1,0,0,1,1,1,1,1
"administrative_aliases","exact_deduplication","policy_value",20,0.279703925202586,0.00427667199013538,0.000956292928741203,0.27770238109967,0.281705469305502,0.272943739063715,0.279250527391599,0.286635871584955
"administrative_aliases","exact_deduplication","policy_regret",20,0.00939517230916164,0.00434580673913884,0.000971751928579114,0.00736127214772789,0.0114290724705954,0.00266502924220156,0.0101931727664679,0.0165804122959003
"administrative_aliases","exact_deduplication","policy_value_difference",20,0,0,0,0,0,0,0,0
"administrative_aliases","exact_deduplication","regret_difference",20,0,0,0,0,0,0,0,0
"administrative_aliases","dimension_adjusted_mtry","cate_rmse",20,0.36177055880694,0.0216160311979456,0.00483349151623626,0.351653944796679,0.371887172817201,0.33020410128737,0.35548937661497,0.401190832762292
"administrative_aliases","dimension_adjusted_mtry","cate_correlation",20,0.836827182715094,0.0249902723591941,0.00558799477713921,0.825131375230634,0.848522990199555,0.800842622185533,0.840303109624695,0.868480766861723
"administrative_aliases","dimension_adjusted_mtry","cate_rank_correlation",20,0.660505794233021,0.0364507422712847,0.00815063375489176,0.64344632172536,0.677565266740682,0.598253055398403,0.65933206237148,0.724288076233431
"administrative_aliases","dimension_adjusted_mtry","representation_cate_correlation",20,0.993522193645534,0.00197912381509044,0.000442545538643096,0.992595935187983,0.994448452103085,0.988612382856183,0.994014701959914,0.995613707174114
"administrative_aliases","dimension_adjusted_mtry","representation_rank_correlation",20,0.968331587420057,0.0107899936079132,0.00241271591840821,0.963281714966375,0.97338145987374,0.948674453466138,0.971647674407609,0.98088662089583
"administrative_aliases","dimension_adjusted_mtry","assignment_switching",20,0.0117266666666667,0.00531091340256934,0.00118755633907597,0.00924108268301558,0.0142122506503178,0.00503166666666667,0.00976666666666667,0.0224916666666667
"administrative_aliases","dimension_adjusted_mtry","top_set_overlap",20,0.943341050192119,0.0248433344560064,0.0055551384631393,0.9317140117632,0.954968088621039,0.893542878687281,0.952330607566619,0.975154219393851
"administrative_aliases","dimension_adjusted_mtry","policy_value",20,0.280783197504055,0.00426211966377269,0.000953038929643427,0.278788464099524,0.282777930908586,0.273941358694508,0.281152682722739,0.286225298643816
"administrative_aliases","dimension_adjusted_mtry","policy_regret",20,0.00831590000769278,0.00424131929569342,0.000948387825945201,0.00633090147508148,0.0103008985403041,0.00275650506709332,0.00838374259879415,0.0154007148092143
"administrative_aliases","dimension_adjusted_mtry","policy_value_difference",20,0.00107927230146886,0.0021401331377529,0.000478548317691541,7.7659161343837e-05,0.00208088544159389,-0.00252608790751531,0.000899374363773936,0.00535636352895803
"administrative_aliases","dimension_adjusted_mtry","regret_difference",20,-0.00107927230146886,0.0021401331377529,0.000478548317691541,-0.00208088544159389,-7.7659161343837e-05,-0.00535636352895803,-0.000899374363773936,0.00252608790751531
"administrative_aliases","class_sampled","cate_rmse",20,0.389606749322032,0.0218511721515237,0.00488607063188573,0.379380085957957,0.399833412686107,0.36152716581258,0.38592436618117,0.433810710631213
"administrative_aliases","class_sampled","cate_correlation",20,0.83776637610108,0.0256783193515458,0.00574184676180048,0.825748552711905,0.849784199490255,0.804143201169188,0.843039223588761,0.869143255375077
"administrative_aliases","class_sampled","cate_rank_correlation",20,0.665979296011425,0.0363819331367402,0.00813524756466032,0.648952027170024,0.683006564852826,0.606287588702864,0.663035842807151,0.729439674328155
"administrative_aliases","class_sampled","representation_cate_correlation",20,1,1.0188105198175e-16,2.27812957850383e-17,1,1,1,1,1
"administrative_aliases","class_sampled","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"administrative_aliases","class_sampled","assignment_switching",20,0,0,0,0,0,0,0,0
"administrative_aliases","class_sampled","top_set_overlap",20,1,0,0,1,1,1,1,1
"administrative_aliases","class_sampled","policy_value",20,0.279562492573061,0.00433267717670501,0.000968816069167428,0.277534737235996,0.281590247910126,0.272653748765621,0.279262810925247,0.285956295467184
"administrative_aliases","class_sampled","policy_regret",20,0.00953660493868661,0.00438005515270223,0.000979410106664041,0.00748667602630817,0.0115865338510651,0.00328149103318214,0.0101706951403943,0.0165490189468038
"administrative_aliases","class_sampled","policy_value_difference",20,0,0,0,0,0,0,0,0
"administrative_aliases","class_sampled","regret_difference",20,0,0,0,0,0,0,0,0
"unit_recodings","ordinary","cate_rmse",20,0.397243358747706,0.0213709219371879,0.00477868341933937,0.387241459402626,0.407245258092785,0.368848318991495,0.393423755131442,0.439956264117852
"unit_recodings","ordinary","cate_correlation",20,0.839424450126555,0.0254701434458116,0.00569529721415054,0.827504056060334,0.851344844192777,0.804846669014968,0.846080818244866,0.875325167022952
"unit_recodings","ordinary","cate_rank_correlation",20,0.657939957669748,0.0314360614894783,0.00702931704353367,0.64322742801157,0.672652487327926,0.607282883750859,0.654233845611149,0.711225327490361
"unit_recodings","ordinary","representation_cate_correlation",20,0.990237029432858,0.00348659823072131,0.000779627065412334,0.988605251231483,0.991868807634234,0.982834208252854,0.990557864489786,0.995090727360217
"unit_recodings","ordinary","representation_rank_correlation",20,0.968107569129231,0.00836430035618526,0.00187031441806559,0.964192956062913,0.972022182195549,0.951843490859282,0.969377214979752,0.978468808175454
"unit_recodings","ordinary","assignment_switching",20,0.0157666666666667,0.0052714169117335,0.00117872465523781,0.0132995676097298,0.0182337657236035,0.00911166666666667,0.0148333333333333,0.0263816666666667
"unit_recodings","ordinary","top_set_overlap",20,0.924446632855629,0.0241182309190588,0.00539300038320526,0.913158953328147,0.935734312383111,0.876443836274082,0.928486344059423,0.955470431977969
"unit_recodings","ordinary","policy_value",20,0.278631002059425,0.00485489019667329,0.00108558645030588,0.276358843505795,0.280903160613055,0.269379033315569,0.279261037662979,0.285994744370135
"unit_recodings","ordinary","policy_regret",20,0.0104680954523227,0.00494946268844929,0.00110673350234715,0.0081516756100906,0.0127845152945549,0.00324822801289673,0.00984799098610645,0.0201451180440468
"unit_recodings","ordinary","policy_value_difference",20,-0.00107292314316109,0.00166487749771572,0.00037227792591021,-0.00185210979701639,-0.000293736489305784,-0.00356736200503358,-0.000951209029527417,0.00173308404318818
"unit_recodings","ordinary","regret_difference",20,0.00107292314316109,0.00166487749771572,0.00037227792591021,0.000293736489305784,0.00185210979701639,-0.00173308404318818,0.000951209029527417,0.00356736200503358
"unit_recodings","exact_deduplication","cate_rmse",20,0.397243358747706,0.0213709219371879,0.00477868341933937,0.387241459402626,0.407245258092785,0.368848318991495,0.393423755131442,0.439956264117852
"unit_recodings","exact_deduplication","cate_correlation",20,0.839424450126555,0.0254701434458116,0.00569529721415054,0.827504056060334,0.851344844192777,0.804846669014968,0.846080818244866,0.875325167022952
"unit_recodings","exact_deduplication","cate_rank_correlation",20,0.657939957669748,0.0314360614894783,0.00702931704353367,0.64322742801157,0.672652487327926,0.607282883750859,0.654233845611149,0.711225327490361
"unit_recodings","exact_deduplication","representation_cate_correlation",20,0.990237029432858,0.00348659823072131,0.000779627065412334,0.988605251231483,0.991868807634234,0.982834208252854,0.990557864489786,0.995090727360217
"unit_recodings","exact_deduplication","representation_rank_correlation",20,0.968107569129231,0.00836430035618526,0.00187031441806559,0.964192956062913,0.972022182195549,0.951843490859282,0.969377214979752,0.978468808175454
"unit_recodings","exact_deduplication","assignment_switching",20,0.0157666666666667,0.0052714169117335,0.00117872465523781,0.0132995676097298,0.0182337657236035,0.00911166666666667,0.0148333333333333,0.0263816666666667
"unit_recodings","exact_deduplication","top_set_overlap",20,0.924446632855629,0.0241182309190588,0.00539300038320526,0.913158953328147,0.935734312383111,0.876443836274082,0.928486344059423,0.955470431977969
"unit_recodings","exact_deduplication","policy_value",20,0.278631002059425,0.00485489019667329,0.00108558645030588,0.276358843505795,0.280903160613055,0.269379033315569,0.279261037662979,0.285994744370135
"unit_recodings","exact_deduplication","policy_regret",20,0.0104680954523227,0.00494946268844929,0.00110673350234715,0.0081516756100906,0.0127845152945549,0.00324822801289673,0.00984799098610645,0.0201451180440468
"unit_recodings","exact_deduplication","policy_value_difference",20,-0.00107292314316109,0.00166487749771572,0.00037227792591021,-0.00185210979701639,-0.000293736489305784,-0.00356736200503358,-0.000951209029527417,0.00173308404318818
"unit_recodings","exact_deduplication","regret_difference",20,0.00107292314316109,0.00166487749771572,0.00037227792591021,0.000293736489305784,0.00185210979701639,-0.00173308404318818,0.000951209029527417,0.00356736200503358
"unit_recodings","dimension_adjusted_mtry","cate_rmse",20,0.38287216512294,0.0234529971645439,0.00524424959360299,0.371895824576207,0.393848505669672,0.351219864263924,0.37959263650253,0.427386281802373
